ingresos,egresos,clase,consejo
849,2801,0,Busca ingresos extra como trabajos freelance o ventas.
2321,744,4,Planea tu jubilación con tiempo.
2381,2884,1,Reduce gastos en entretenimiento o delivery.
1729,807,4,Asesórate con un experto financiero para dar el siguiente paso.
797,416,3,Considera aumentar tu fondo de emergencia.
493,2444,0,Situación crítica. Elabora un presupuesto mensual estricto.
2100,1141,4,Diversifica tus inversiones: considera fondos o bienes raíces.
969,2695,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2780,1034,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2491,240,4,Invierte en educación financiera o cursos.
2544,2395,3,"Sigue ahorrando, pero también revisa tus metas."
2597,1849,4,Asesórate con un experto financiero para dar el siguiente paso.
855,1527,1,Revisa tus gastos mensuales y elimina los superfluos.
2825,3320,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1455,3179,0,Busca ingresos extra como trabajos freelance o ventas.
1676,3058,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2664,232,4,Asesórate con un experto financiero para dar el siguiente paso.
768,1425,1,Evita el uso frecuente de tarjetas de crédito.
238,2888,0,Busca ingresos extra como trabajos freelance o ventas.
1622,3283,0,Busca ingresos extra como trabajos freelance o ventas.
587,2211,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1121,3445,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2953,3081,1,Reduce gastos en entretenimiento o delivery.
1555,657,4,Planea tu jubilación con tiempo.
1825,2695,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2472,2124,3,Evalúa tus gastos anuales y ajusta si es necesario.
251,2803,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
552,1831,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
736,1879,0,Busca ingresos extra como trabajos freelance o ventas.
651,2174,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2799,2705,3,Analiza opciones de inversión de bajo riesgo.
764,1999,0,Situación crítica. Elabora un presupuesto mensual estricto.
579,1819,0,Situación crítica. Elabora un presupuesto mensual estricto.
2237,2121,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
505,286,3,"Sigue ahorrando, pero también revisa tus metas."
2626,294,4,Planea tu jubilación con tiempo.
365,1464,0,Situación crítica. Elabora un presupuesto mensual estricto.
1477,1832,1,Revisa tus gastos mensuales y elimina los superfluos.
2001,920,4,Diversifica tus inversiones: considera fondos o bienes raíces.
583,362,3,Considera aumentar tu fondo de emergencia.
445,2028,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2082,805,4,Invierte en educación financiera o cursos.
2604,3189,1,Pequeños ajustes pueden ayudarte a ahorrar más.
989,1741,1,Evita el uso frecuente de tarjetas de crédito.
699,516,3,"Sigue ahorrando, pero también revisa tus metas."
2973,739,4,Invierte en educación financiera o cursos.
640,1022,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2113,2932,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
264,2252,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
886,1660,1,Evita el uso frecuente de tarjetas de crédito.
2923,2062,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
375,1457,0,Situación crítica. Elabora un presupuesto mensual estricto.
2704,1929,4,Planea tu jubilación con tiempo.
2104,2932,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1538,2162,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1091,2666,0,Busca ingresos extra como trabajos freelance o ventas.
1897,463,4,Asesórate con un experto financiero para dar el siguiente paso.
391,749,1,Revisa tus gastos mensuales y elimina los superfluos.
2887,580,4,Planea tu jubilación con tiempo.
1805,2278,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1166,209,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1475,2924,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2226,161,4,Invierte en educación financiera o cursos.
2950,3309,1,Revisa tus gastos mensuales y elimina los superfluos.
989,3106,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1535,1194,3,Considera aumentar tu fondo de emergencia.
2508,664,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2328,1285,4,Diversifica tus inversiones: considera fondos o bienes raíces.
696,2436,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1071,1479,1,Reduce gastos en entretenimiento o delivery.
1272,1474,1,Evita el uso frecuente de tarjetas de crédito.
423,3044,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1559,1134,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1783,549,4,Invierte en educación financiera o cursos.
1925,432,4,Invierte en educación financiera o cursos.
1017,2318,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2195,2500,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2057,2213,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1610,1869,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
1934,1198,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2963,533,4,Planea tu jubilación con tiempo.
2557,2971,1,Reduce gastos en entretenimiento o delivery.
2761,763,4,Planea tu jubilación con tiempo.
742,109,4,Asesórate con un experto financiero para dar el siguiente paso.
2286,3397,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
200,2315,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
228,2838,0,Busca ingresos extra como trabajos freelance o ventas.
222,2048,0,Reducción urgente de gastos. Considera renegociar tus deudas.
1970,1327,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2960,2400,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2989,3476,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1657,566,4,Planea tu jubilación con tiempo.
1539,2851,0,Situación crítica. Elabora un presupuesto mensual estricto.
1769,1805,1,Evita el uso frecuente de tarjetas de crédito.
2570,2132,3,Analiza opciones de inversión de bajo riesgo.
1133,1592,1,Pequeños ajustes pueden ayudarte a ahorrar más.
618,1461,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
1172,2660,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
929,2377,0,Situación crítica. Elabora un presupuesto mensual estricto.
2535,3134,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
269,2200,0,Busca ingresos extra como trabajos freelance o ventas.
2791,113,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
533,957,1,Reduce gastos en entretenimiento o delivery.
2111,2856,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1444,1378,3,Analiza opciones de inversión de bajo riesgo.
1284,2272,0,Situación crítica. Elabora un presupuesto mensual estricto.
1675,799,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1947,1110,4,Invierte en educación financiera o cursos.
1802,2399,1,Reduce gastos en entretenimiento o delivery.
397,3374,0,Situación crítica. Elabora un presupuesto mensual estricto.
2817,2110,4,Planea tu jubilación con tiempo.
1727,2692,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1457,3257,0,Situación crítica. Elabora un presupuesto mensual estricto.
502,3090,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
945,2973,0,Reducción urgente de gastos. Considera renegociar tus deudas.
2015,453,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1311,642,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
1663,2342,1,Evita el uso frecuente de tarjetas de crédito.
2369,2888,1,Reduce gastos en entretenimiento o delivery.
2651,215,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1967,218,4,Invierte en educación financiera o cursos.
1771,1295,3,"Sigue ahorrando, pero también revisa tus metas."
408,2348,0,Reducción urgente de gastos. Considera renegociar tus deudas.
899,1839,0,Situación crítica. Elabora un presupuesto mensual estricto.
309,141,3,"Sigue ahorrando, pero también revisa tus metas."
1938,3236,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2468,2695,1,Evita el uso frecuente de tarjetas de crédito.
2147,1292,4,Planea tu jubilación con tiempo.
2411,1205,4,Invierte en educación financiera o cursos.
816,2153,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2668,972,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2977,522,4,Planea tu jubilación con tiempo.
2964,2482,3,"Sigue ahorrando, pero también revisa tus metas."
2802,2591,3,Considera aumentar tu fondo de emergencia.
1106,2332,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2354,2454,1,Pequeños ajustes pueden ayudarte a ahorrar más.
268,2066,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2234,2815,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1126,1684,1,Evita el uso frecuente de tarjetas de crédito.
2616,2968,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2719,655,4,Planea tu jubilación con tiempo.
1506,1459,3,"Bien hecho, estás ahorrando. Piensa en metas a mediano plazo."
1036,2974,0,Busca ingresos extra como trabajos freelance o ventas.
2748,475,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1615,3101,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
2209,2527,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2329,2612,1,Evita el uso frecuente de tarjetas de crédito.
3000,751,4,Asesórate con un experto financiero para dar el siguiente paso.
665,3095,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2144,759,4,Asesórate con un experto financiero para dar el siguiente paso.
1111,2035,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
2922,2409,4,Planea tu jubilación con tiempo.
2839,3244,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1666,3165,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
607,1345,1,Reduce gastos en entretenimiento o delivery.
2862,2348,4,Diversifica tus inversiones: considera fondos o bienes raíces.
2470,823,4,Invierte en educación financiera o cursos.
1568,3416,0,Busca ingresos extra como trabajos freelance o ventas.
1541,1170,3,Evalúa tus gastos anuales y ajusta si es necesario.
352,2526,0,Estás gastando mucho más de lo que ganas. Revisa tus suscripciones.
1429,2377,0,Evita gastos innecesarios como comida rápida o suscripciones duplicadas.
603,3330,0,Busca ingresos extra como trabajos freelance o ventas.
812,1267,1,Reduce gastos en entretenimiento o delivery.
523,850,1,Evita el uso frecuente de tarjetas de crédito.
1746,1201,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2137,1430,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
2720,3058,1,"Estás cerca del equilibrio, pero aún puedes mejorar."
2326,3073,1,Pequeños ajustes pueden ayudarte a ahorrar más.
2604,364,4,Diversifica tus inversiones: considera fondos o bienes raíces.
1494,2197,1,Evita el uso frecuente de tarjetas de crédito.
244,392,1,Reduce gastos en entretenimiento o delivery.
629,334,3,Considera aumentar tu fondo de emergencia.
2168,136,4,Asesórate con un experto financiero para dar el siguiente paso.
1713,1043,4,Estás ahorrando muy bien. Puedes comenzar a invertir.
570,2051,0,Busca ingresos extra como trabajos freelance o ventas.
1292,787,4,Planea tu jubilación con tiempo.
2318,2373,1,Pequeños ajustes pueden ayudarte a ahorrar más.
1114,613,4,Asesórate con un experto financiero para dar el siguiente paso.
